player_name,Position,goals,shots,shots_on_target,assists,total_passes,total_passes_completed,long_passes,long_passes_completed,crosses,accurate_crosses,xg,dribbles,successful_dribbles,fouls_drawn,offensive_duels,Goal Accuracy (%),Strengths,Weaknesses
F. Bell,"DMF, RDMF",0,4,1,0,77,64,3,2,1,0,0.35,4,1,4.0,12.0,0.0,"goals, shots, shots_on_target, assists, total_passes, total_passes_completed, long_passes_completed, crosses, accurate_crosses, xg, dribbles, successful_dribbles, fouls_drawn, offensive_duels, Goal Accuracy (%)",
F. Bell,LCMF,0,4,0,0,358,307,25,15,3,1,0.11,11,7,6.0,43.0,0.0,"goals, shots, shots_on_target, assists, total_passes, total_passes_completed, long_passes, long_passes_completed, crosses, accurate_crosses, xg, dribbles, successful_dribbles, fouls_drawn, offensive_duels, Goal Accuracy (%)",
F. Bell,"LCMF, RCMF",0,3,0,0,76,63,6,2,1,0,0.15,9,5,3.0,13.0,0.0,"goals, shots, shots_on_target, assists, total_passes, total_passes_completed, long_passes, long_passes_completed, crosses, accurate_crosses, xg, dribbles, successful_dribbles, fouls_drawn, offensive_duels, Goal Accuracy (%)",
F. Bell,LDMF,0,0,0,0,84,69,15,6,2,0,0.0,1,0,2.0,8.0,0.0,"goals, shots_on_target, assists, total_passes, total_passes_completed, long_passes, long_passes_completed, crosses, accurate_crosses, fouls_drawn, offensive_duels, Goal Accuracy (%)","shots, xg, successful_dribbles"
F. Bell,RCMF,0,0,0,0,33,22,1,0,1,0,0.0,2,2,0.0,8.0,0.0,"goals, shots_on_target, assists, crosses, accurate_crosses, successful_dribbles, offensive_duels, Goal Accuracy (%)","shots, long_passes_completed, xg, fouls_drawn"
F. Di Ponzio,0,0,0,0,0,13,11,3,2,0,0,0.0,0,0,0.0,0.0,0.0,"goals, shots_on_target, assists, long_passes_completed, accurate_crosses, Goal Accuracy (%)","shots, crosses, xg, dribbles, successful_dribbles, fouls_drawn, offensive_duels"
F. Di Ponzio,AMF,0,1,0,0,28,22,1,1,1,0,0.0,2,1,1.0,4.0,0.0,"goals, shots, shots_on_target, assists, crosses, accurate_crosses, successful_dribbles, fouls_drawn, Goal Accuracy (%)",xg
F. Di Ponzio,"AMF, CF, RWB",0,0,0,0,20,11,3,2,2,0,0.0,2,1,1.0,10.0,0.0,"goals, shots_on_target, assists, long_passes_completed, crosses, accurate_crosses, successful_dribbles, fouls_drawn, offensive_duels, Goal Accuracy (%)","shots, xg"
F. Di Ponzio,"AMF, LWF",0,0,0,0,14,11,1,1,1,0,0.0,0,0,1.0,2.0,0.0,"goals, shots_on_target, assists, crosses, accurate_crosses, fouls_drawn, Goal Accuracy (%)","shots, xg, dribbles, successful_dribbles"
F. Di Ponzio,"CF, RWB",0,2,1,1,20,16,0,0,1,0,0.33,1,0,1.0,7.0,0.0,"goals, shots, shots_on_target, assists, crosses, accurate_crosses, xg, fouls_drawn, offensive_duels, Goal Accuracy (%)","long_passes, long_passes_completed, successful_dribbles"
F. Di Ponzio,LAMF,0,0,0,0,18,12,0,0,1,1,0.0,1,1,0.0,3.0,0.0,"goals, shots_on_target, assists, crosses, accurate_crosses, successful_dribbles, Goal Accuracy (%)","shots, long_passes, long_passes_completed, xg, fouls_drawn"
F. Di Ponzio,"LAMF, RAMF",1,3,2,0,21,17,2,0,1,0,0.66,1,0,0.0,6.0,50.0,"goals, shots, shots_on_target, assists, crosses, accurate_crosses, xg, Goal Accuracy (%)","long_passes_completed, successful_dribbles, fouls_drawn"
F. Di Ponzio,"LAMF, RW",0,1,0,0,12,6,3,1,3,1,0.0,6,2,2.0,9.0,0.0,"goals, shots, shots_on_target, assists, crosses, accurate_crosses, dribbles, successful_dribbles, fouls_drawn, offensive_duels, Goal Accuracy (%)","total_passes_completed, xg"
F. Di Ponzio,LCMF3,0,0,0,0,19,10,1,0,0,0,0.0,0,0,0.0,3.0,0.0,"goals, shots_on_target, assists, accurate_crosses, Goal Accuracy (%)","shots, long_passes_completed, crosses, xg, dribbles, successful_dribbles, fouls_drawn"
F. Di Ponzio,LDMF,0,0,0,0,3,2,1,0,0,0,0.0,0,0,0.0,0.0,0.0,"goals, shots_on_target, assists, accurate_crosses, Goal Accuracy (%)","shots, total_passes, total_passes_completed, long_passes_completed, crosses, xg, dribbles, successful_dribbles, fouls_drawn, offensive_duels"
F. Di Ponzio,LW,0,1,0,0,11,8,1,0,1,0,0.16,0,0,0.0,0.0,0.0,"goals, shots, shots_on_target, assists, crosses, accurate_crosses, xg, Goal Accuracy (%)","total_passes, total_passes_completed, long_passes_completed, dribbles, successful_dribbles, fouls_drawn, offensive_duels"
F. Di Ponzio,LWB,0,1,1,0,25,19,4,2,2,1,0.13,4,2,0.0,5.0,0.0,"goals, shots, shots_on_target, assists, long_passes_completed, crosses, accurate_crosses, xg, dribbles, successful_dribbles, Goal Accuracy (%)",fouls_drawn
F. Di Ponzio,RAMF,0,0,0,0,9,6,1,0,2,1,0.0,0,0,0.0,0.0,0.0,"goals, shots_on_target, assists, crosses, accurate_crosses, Goal Accuracy (%)","shots, total_passes, total_passes_completed, long_passes_completed, xg, dribbles, successful_dribbles, fouls_drawn, offensive_duels"
F. Grundin,GK,0,0,0,0,55,45,18,9,0,0,0.0,0,0,1.0,0.0,0.0,"goals, shots_on_target, assists, total_passes, total_passes_completed, long_passes, long_passes_completed, accurate_crosses, fouls_drawn, Goal Accuracy (%)","shots, crosses, xg, dribbles, successful_dribbles, offensive_duels"
F. Volmar,0,0,0,0,0,6,4,2,2,0,0,0.0,1,0,0.0,1.0,0.0,"goals, shots_on_target, assists, long_passes_completed, accurate_crosses, Goal Accuracy (%)","shots, total_passes, total_passes_completed, crosses, xg, successful_dribbles, fouls_drawn, offensive_duels"
F. Volmar,LB,0,15,4,1,473,322,71,29,53,13,0.77,73,34,20.0,146.0,0.0,"goals, shots, shots_on_target, assists, total_passes, total_passes_completed, long_passes, long_passes_completed, crosses, accurate_crosses, xg, dribbles, successful_dribbles, fouls_drawn, offensive_duels, Goal Accuracy (%)",
F. Volmar,"LB, LB5",1,1,1,0,90,57,16,9,8,2,0.38,15,7,4.0,30.0,100.0,"goals, shots, shots_on_target, assists, total_passes, total_passes_completed, long_passes, long_passes_completed, crosses, accurate_crosses, xg, dribbles, successful_dribbles, fouls_drawn, offensive_duels, Goal Accuracy (%)",
F. Volmar,LB5,0,1,0,0,6,4,0,0,0,0,0.18,1,0,0.0,5.0,0.0,"goals, shots, shots_on_target, assists, accurate_crosses, xg, Goal Accuracy (%)","total_passes, total_passes_completed, long_passes, long_passes_completed, crosses, successful_dribbles, fouls_drawn"
F. Volmar,LWB,0,1,0,0,24,13,3,2,4,2,0.05,7,2,1.0,9.0,0.0,"goals, shots, shots_on_target, assists, long_passes_completed, crosses, accurate_crosses, dribbles, successful_dribbles, fouls_drawn, offensive_duels, Goal Accuracy (%)",
G. Elmquist,"AMF, CF",0,0,0,0,6,5,0,0,0,0,0.0,5,1,0.0,13.0,0.0,"goals, shots_on_target, assists, accurate_crosses, dribbles, successful_dribbles, offensive_duels, Goal Accuracy (%)","shots, total_passes, total_passes_completed, long_passes, long_passes_completed, crosses, xg, fouls_drawn"
G. Elmquist,CF,3,30,14,0,141,109,3,1,10,3,3.2199999999999998,66,31,16.0,188.0,21.428571428571427,"goals, shots, shots_on_target, assists, total_passes, total_passes_completed, crosses, accurate_crosses, xg, dribbles, successful_dribbles, fouls_drawn, offensive_duels, Goal Accuracy (%)",
G. Elmquist,"CF, RWF",0,0,0,0,12,8,0,0,0,0,0.0,0,0,0.0,8.0,0.0,"goals, shots_on_target, assists, accurate_crosses, offensive_duels, Goal Accuracy (%)","shots, total_passes_completed, long_passes, long_passes_completed, crosses, xg, dribbles, successful_dribbles, fouls_drawn"
G. Fernandez,LB,0,0,0,0,67,53,6,3,6,2,0.0,1,1,2.0,6.0,0.0,"goals, shots_on_target, assists, total_passes, total_passes_completed, long_passes, long_passes_completed, crosses, accurate_crosses, successful_dribbles, fouls_drawn, Goal Accuracy (%)","shots, xg"
H. Bertos,0,0,0,0,0,2,0,0,0,0,0,0.0,2,0,1.0,3.0,0.0,"goals, shots_on_target, assists, accurate_crosses, fouls_drawn, Goal Accuracy (%)","shots, total_passes, total_passes_completed, long_passes, long_passes_completed, crosses, xg, successful_dribbles"
H. Bertos,LB,1,2,1,0,86,52,12,3,13,3,0.16999999999999998,9,6,3.0,14.0,100.0,"goals, shots, shots_on_target, assists, total_passes, total_passes_completed, long_passes, long_passes_completed, crosses, accurate_crosses, xg, dribbles, successful_dribbles, fouls_drawn, offensive_duels, Goal Accuracy (%)",
H. Bertos,"LB, LCB",0,3,2,1,211,160,32,14,5,2,0.11,6,3,6.0,22.0,0.0,"goals, shots, shots_on_target, assists, total_passes, total_passes_completed, long_passes, long_passes_completed, crosses, accurate_crosses, xg, dribbles, successful_dribbles, fouls_drawn, offensive_duels, Goal Accuracy (%)",
H. Bertos,"LB, LW",0,0,0,0,5,3,0,0,0,0,0.0,0,0,1.0,1.0,0.0,"goals, shots_on_target, assists, accurate_crosses, fouls_drawn, Goal Accuracy (%)","shots, total_passes, total_passes_completed, long_passes, long_passes_completed, crosses, xg, dribbles, successful_dribbles, offensive_duels"
H. Bertos,LCB,0,3,3,0,470,382,81,36,5,1,0.41000000000000003,9,5,8.0,31.0,0.0,"goals, shots, shots_on_target, assists, total_passes, total_passes_completed, long_passes, long_passes_completed, crosses, accurate_crosses, xg, dribbles, successful_dribbles, fouls_drawn, offensive_duels, Goal Accuracy (%)",
H. Bertos,LCB3,1,2,1,0,65,56,11,4,0,0,0.45,0,0,1.0,1.0,100.0,"goals, shots, shots_on_target, assists, total_passes, total_passes_completed, long_passes, long_passes_completed, accurate_crosses, xg, fouls_drawn, Goal Accuracy (%)","crosses, dribbles, successful_dribbles, offensive_duels"
H. Bertos,LW,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,"goals, shots_on_target, assists, accurate_crosses, Goal Accuracy (%)","shots, total_passes, total_passes_completed, long_passes, long_passes_completed, crosses, xg, dribbles, successful_dribbles, fouls_drawn, offensive_duels"
H. Bertos,RCB,0,2,0,0,38,34,6,3,0,0,0.52,0,0,2.0,3.0,0.0,"goals, shots, shots_on_target, assists, total_passes, total_passes_completed, long_passes, long_passes_completed, accurate_crosses, xg, fouls_drawn, Goal Accuracy (%)","crosses, dribbles, successful_dribbles"
H. Blatteis,GK,0,0,0,0,248,191,148,93,0,0,0.0,0,0,2.0,0.0,0.0,"goals, shots_on_target, assists, total_passes, total_passes_completed, long_passes, long_passes_completed, accurate_crosses, fouls_drawn, Goal Accuracy (%)","shots, crosses, xg, dribbles, successful_dribbles, offensive_duels"
H. Brown,GK,0,0,0,0,847,705,302,172,0,0,0.0,0,0,9.0,2.0,0.0,"goals, shots_on_target, assists, total_passes, total_passes_completed, long_passes, long_passes_completed, accurate_crosses, fouls_drawn, Goal Accuracy (%)","shots, crosses, xg, dribbles, successful_dribbles"
H. Evans,GK,0,0,0,1,705,604,257,165,0,0,0.0,1,1,3.0,2.0,0.0,"goals, shots_on_target, assists, total_passes, total_passes_completed, long_passes, long_passes_completed, accurate_crosses, successful_dribbles, fouls_drawn, Goal Accuracy (%)","shots, crosses, xg"
H. Richter,0,0,0,0,0,28,23,5,4,0,0,0.0,1,1,1.0,1.0,0.0,"goals, shots_on_target, assists, long_passes, long_passes_completed, accurate_crosses, successful_dribbles, fouls_drawn, Goal Accuracy (%)","shots, crosses, xg, offensive_duels"
H. Richter,LB,0,0,0,0,7,5,1,1,0,0,0.0,0,0,1.0,1.0,0.0,"goals, shots_on_target, assists, accurate_crosses, fouls_drawn, Goal Accuracy (%)","shots, total_passes, total_passes_completed, crosses, xg, dribbles, successful_dribbles, offensive_duels"
H. Richter,LCB,0,0,0,0,111,88,18,8,0,0,0.0,0,0,2.0,5.0,0.0,"goals, shots_on_target, assists, total_passes, total_passes_completed, long_passes, long_passes_completed, accurate_crosses, fouls_drawn, Goal Accuracy (%)","shots, crosses, xg, dribbles, successful_dribbles"
H. Richter,"LCB, LCB3",0,0,0,0,19,9,6,1,0,0,0.0,0,0,0.0,0.0,0.0,"goals, shots_on_target, assists, long_passes, accurate_crosses, Goal Accuracy (%)","shots, crosses, xg, dribbles, successful_dribbles, fouls_drawn, offensive_duels"
H. Richter,LCB3,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1.0,0.0,"goals, shots_on_target, assists, accurate_crosses, Goal Accuracy (%)","shots, total_passes, total_passes_completed, long_passes, long_passes_completed, crosses, xg, dribbles, successful_dribbles, fouls_drawn, offensive_duels"
I. Abbey,"AMF, LAMF",1,3,2,0,7,4,2,0,0,0,0.51,4,2,1.0,7.0,50.0,"goals, shots, shots_on_target, assists, accurate_crosses, xg, dribbles, successful_dribbles, fouls_drawn, offensive_duels, Goal Accuracy (%)","total_passes, total_passes_completed, long_passes_completed, crosses"
I. Abbey,CF,0,3,2,0,7,3,0,0,1,0,0.6,2,2,1.0,10.0,0.0,"goals, shots, shots_on_target, assists, crosses, accurate_crosses, xg, successful_dribbles, fouls_drawn, offensive_duels, Goal Accuracy (%)","total_passes, total_passes_completed, long_passes, long_passes_completed"
I. Abbey,"CF, LAMF, LWF",0,3,0,0,15,8,0,0,3,0,0.09,5,1,2.0,7.0,0.0,"goals, shots, shots_on_target, assists, crosses, accurate_crosses, dribbles, successful_dribbles, fouls_drawn, offensive_duels, Goal Accuracy (%)","total_passes_completed, long_passes, long_passes_completed"
I. Abbey,"CF, LW",1,4,1,1,20,14,0,0,4,1,1.17,6,4,3.0,13.0,100.0,"goals, shots, shots_on_target, assists, crosses, accurate_crosses, xg, dribbles, successful_dribbles, fouls_drawn, offensive_duels, Goal Accuracy (%)","long_passes, long_passes_completed"
I. Abbey,"CF, LW, RWB",0,0,0,0,18,11,2,0,1,1,0.0,2,0,0.0,4.0,0.0,"goals, shots_on_target, assists, crosses, accurate_crosses, Goal Accuracy (%)","shots, long_passes_completed, xg, successful_dribbles, fouls_drawn"
I. Abbey,"CF, LWB",0,0,0,0,12,12,0,0,1,1,0.0,5,4,3.0,16.0,0.0,"goals, shots_on_target, assists, crosses, accurate_crosses, dribbles, successful_dribbles, fouls_drawn, offensive_duels, Goal Accuracy (%)","shots, long_passes, long_passes_completed, xg"
I. Abbey,"CF, RWF",1,1,1,0,13,11,0,0,1,0,0.04,3,3,0.0,7.0,100.0,"goals, shots, shots_on_target, assists, crosses, accurate_crosses, dribbles, successful_dribbles, offensive_duels, Goal Accuracy (%)","long_passes, long_passes_completed, fouls_drawn"
I. Abbey,LAMF,0,13,5,0,75,58,4,1,5,2,0.99,20,10,4.0,41.0,0.0,"goals, shots, shots_on_target, assists, total_passes, total_passes_completed, crosses, accurate_crosses, xg, dribbles, successful_dribbles, fouls_drawn, offensive_duels, Goal Accuracy (%)",
I. Abbey,"LAMF, LW",0,2,1,0,20,14,2,1,2,0,0.09,2,2,2.0,7.0,0.0,"goals, shots, shots_on_target, assists, crosses, accurate_crosses, successful_dribbles, fouls_drawn, offensive_duels, Goal Accuracy (%)",
I. Abbey,"LAMF, RAMF",0,9,2,0,94,75,4,3,7,3,0.76,17,11,8.0,46.0,0.0,"goals, shots, shots_on_target, assists, total_passes, total_passes_completed, long_passes_completed, crosses, accurate_crosses, xg, dribbles, successful_dribbles, fouls_drawn, offensive_duels, Goal Accuracy (%)",
I. Abbey,"LAMF, RW",0,2,0,0,27,20,2,1,4,1,0.13,11,7,2.0,16.0,0.0,"goals, shots, shots_on_target, assists, crosses, accurate_crosses, xg, dribbles, successful_dribbles, fouls_drawn, offensive_duels, Goal Accuracy (%)",
